sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	2001	2111	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	2676	2831	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	2947	3041	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	3326	3437	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	3610	3732	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	3849	3913	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	4051	4195	+
rna-XM_015901548.1	rna-XM_015901548.1	2001	4773	4720	4773	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	2001	2111	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	2947	3041	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	3326	3437	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	3610	3732	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	3849	3913	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	4051	4195	+
rna-XM_015901611.1	rna-XM_015901611.1	2001	4773	4720	4773	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	2001	2064	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	2874	2903	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	3798	4111	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	4823	4915	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	5372	5435	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	6290	6450	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	31039	31724	+
rna-XM_015903823.1	rna-XM_015903823.1	2001	46738	46630	46738	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	2001	2064	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	2874	2903	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	3798	4111	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	4823	4915	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	5372	5435	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	6290	6450	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	31039	31724	+
rna-XM_015903753.1	rna-XM_015903753.1	2001	46738	46630	46738	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	2001	2064	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	2874	2903	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	3798	4111	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	4823	4915	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	5372	5435	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	6290	6450	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	31039	31724	+
rna-XM_015903883.1	rna-XM_015903883.1	2001	46738	46630	46738	+
rna-XM_015904219.1	rna-XM_015904219.1	2001	4353	2001	2058	+
rna-XM_015904219.1	rna-XM_015904219.1	2001	4353	2446	2478	+
rna-XM_015904219.1	rna-XM_015904219.1	2001	4353	2580	2893	+
rna-XM_015904219.1	rna-XM_015904219.1	2001	4353	3134	3226	+
rna-XM_015904219.1	rna-XM_015904219.1	2001	4353	3352	3415	+
